=====================================================================================
LISTA DE MEDICAMENTOS CONTROLADOS - ORDEM ALFABÉTICA (sem considerar acentos)
Fonte: RDC 999/2025 e IN 360/2025
=====================================================================================

Total de medicamentos: 610

116. Cisaprida                                          | C1 - Outras Substâncias de Controle Especial
117. Citalopram                                         | C1 - Outras Substâncias de Controle Especial
118. claritromicina                                     | Antimicrobianos
119. clindamicina                                       | Antimicrobianos
120. Clobazam                                           | B1 - Psicotrópicos
121. clofazimina                                        | Antimicrobianos
122. Clomacrano                                         | C1 - Outras Substâncias de Controle Especial
123. Clometiazol                                        | C1 - Outras Substâncias de Controle Especial
124. Clomipramina                                       | C1 - Outras Substâncias de Controle Especial
125. Clonazepam                                         | B1 - Psicotrópicos
126. Clonazolam                                         | B1 - Psicotrópicos
127. Clonitazeno                                        | A1 - Entorpecentes
128. cloranfenicol                                      | Antimicrobianos
129. Clorazepam                                         | B1 - Psicotrópicos
130. Clorazepato                                        | B1 - Psicotrópicos
131. Clordiazepóxido                                    | B1 - Psicotrópicos
132. Cloreto de etila                                   | B1 - Psicotrópicos
133. Cloreto de metileno/diclorometano                  | B1 - Psicotrópicos
134. Clorexadol                                         | C1 - Outras Substâncias de Controle Especial
135. clorfenesina                                       | Antimicrobianos
136. Clorfentermina                                     | A3 - Substâncias Psicotrópicas
137. Cloroxomesterona                                   | C5 - Anabolizantes
138. Clorpromazina                                      | C1 - Outras Substâncias de Controle Especial
139. Clorprotixeno                                      | C1 - Outras Substâncias de Controle Especial
140. Clostebol                                          | C5 - Anabolizantes
141. Clotiapina                                         | C1 - Outras Substâncias de Controle Especial
142. Clotiazepam                                        | B1 - Psicotrópicos
143. cloxacilina                                        | Antimicrobianos
144. Cloxazolam                                         | B1 - Psicotrópicos
145. Clozapina                                          | C1 - Outras Substâncias de Controle Especial
146. Codeína                                            | A2 - Entorpecentes de Uso Especial
147. Codoxima                                           | A1 - Entorpecentes
148. Concentrado de palha de dormideira                 | A1 - Entorpecentes
149. dactinomicina                                      | Antimicrobianos
